Event Name,Event Type,Start Date,Start Time,Finish Date,Finish Time,Location (address),Location (city),Location (country),Event Description,Event Link,Event Cost (other details),Recurring,
World Baseball Classic,Sports & Leisure,8/3/2023,TBA,21/3/2023,TBA,TBA,TBA,"Japan, US, Taiwan",The World Baseball Classic is an international baseball tournament sanctioned from 2006 to 2013 by the International Baseball Federation and after 2013 by World Baseball Softball Confederation in partnership with Major League Baseball. ,https://www.mlb.com/world-baseball-classic,,https://drive.google.com/file/d/1lXnRglC7w1phnVrR9oGw33zaAGEtiXcU/view?usp=sharing,Every 4 years
World Snooker Championship,Sports & Leisure,15/4/2023,TBA,1/5/2023,TBA,Crucible Theatre,Sheffeld,ENG,"The World Snooker Championship is a professional snooker tournament with prize money, ranking points and prestige. It's one of the Triple Crown snooker events besides the UK Championship and the Masters. The first official Snooker Championship was held in 1927 in Sheffield, England.",https://wst.tv/,,https://drive.google.com/file/d/1cLB6SiBVCTybY3iY4O434iRuc5A3yq10/view?usp=sharing,Annual
Grand National [Horse Racing],Sports & Leisure,13/4/2023,TBA,15/4/2023,TBA,Aintree Racecourse,Liverpool,ENG,"The Grand National is a National Hunt horse race held annually at Aintree Racecourse in Liverpool, England. First run in 1839, it is a handicap steeplechase over an official distance of about 4 miles and 2½ furlongs, with horses jumping 30 fences over two laps. ",https://www.grandnational.org.uk/,,https://drive.google.com/file/d/1QirJ5G5FWDHclsVMd-nA7QyXIzYKPEpo/view?usp=sharing,Annual
South-East Asian Games,Sports & Leisure,5/5/2023,TBA,17/5/2023,TBA,Morodok Techo National Stadium,Phnom Penh,KH,"The Southeast Asian Games, also known as the SEA Games, is a biennial multi-sport event involving participants from the current 11 countries of Southeast Asia",https://cambodia2023.com/,,https://drive.google.com/file/d/1g_UGzpmQ63x93vCqwv_0OBcolYfI7SIM/view?usp=sharing,every 2 years
Kentucky Derby [Horse Racing],Sports & Leisure,6/5/2023,TBA,6/5/2023,TBA,Churchill Downs,Kentucky,US,"Kentucky Derby, the most prestigious American horse race, established in 1875 and run annually on the first Saturday in May at Churchill Downs racetrack, Louisville, Kentucky.",www.kentuckyderby.com,,https://drive.google.com/file/d/11bTSntvrqpqirAK5uMzokImP-B9O21_a/view?usp=sharing,Annual
IIHF World Championship,Sports & Leisure,26/12/2022,TBA,5/1/2023,TBA,Nokia Arena,TBA,Finland - Latvia,"The Ice Hockey World Championships are an annual international men's ice hockey tournament organized by the International Ice Hockey Federation. First officially held at the 1920 Summer Olympics, it is the sport's highest profile annual international tournament.",https://www.iihf.com/en/events/2023/wm,,https://drive.google.com/file/d/1Kwh6pWnbj2XfIzjUj6atRzfmrlcXh86A/view?usp=sharing,Annual
AFC Asian Cup [Football/Soccer],Sports & Leisure,16/06/2023,TBA,06/07/2023,TBA,TBA,TBA,China / South Korean,"The AFC Asian Cup is the primary association football competition contested by the senior men's national teams of the members of the Asian Football Confederation, determining the continental champion of Asia. It is the second oldest continental football championship in the world after Copa América.",https://www.the-afc.com/en/home.html,,https://drive.google.com/file/d/1GnFQyjgT2I5xHg4j4H-4Y4YO_OnD2Fv8/view?usp=sharing,Annual
NBA Finals,Sports & Leisure,06/2023,TBA,06/2023,TBA,TBA,TBA,US/CA,The NBA Finals is the annual championship series of the National Basketball Association. The Eastern and Western conference champions play a best-of-seven game series to determine the league champion.,https://www.nba.com/playoffs/2022/the-finals,,https://drive.google.com/file/d/1KxASAqA0Sn8fOXpCaWzpt2bVa36U2sWg/view?usp=sharing,Annual
World Aquatics Championships,Sports & Leisure,14/07/2023,TBA,30/07/2023,TBA,TBA,Fukuoka,JP,"The FINA World Championships or World Aquatics Championships are the World Championships for aquatics sports: swimming, diving, high diving, open water swimming, artistic swimming, and water polo. They are run by FINA, and all swimming events are contested in a long course pool",https://www.fina.org/,,https://drive.google.com/file/d/1eyaiQ-T0xo-CfPqA-GetjI6U-mvb-J9Y/view?usp=sharing,Annual
Women's World Cup,Sports & Leisure,10/07/2023,TBA,20/08/2023,TBA,TBA,TBA,AU/NZ,The tournament replicates the format of the men's FIFA World Cup used between 1998 to 2022. The tournament also acts as the UEFA qualifiers for the 2024 Paris Olympic Games. The best-two UEFA teams from the World Cup will qualify (not including Olympic hosts France).,https://www.fifa.com/tournaments/womens/womensworldcup,,https://drive.google.com/file/d/16Z4eWdOb1e1ffHTAW9ueszDxslIGlGCO/view?usp=sharing,Annual
World Police and Fire Games,Sports & Leisure,28/07/2023,TBA,06/08/2023,TBA,TBA,Winnipeg,CA,"The World Police and Fire Games is a biennial athletic event, open to active and retired law enforcement and fire service personnel throughout the world. The WPFG Federation is an arm of the California Police Athletic Federation, an American non-profit organization.",https://wpfgrotterdam2022.com/,,https://drive.google.com/file/d/1IT-YxzqkV3komOzDvHLXjUJ9LRg2l3Af/view?usp=sharing,Annual
Netball World Cup,Sports & Leisure,28/07/2023,TBA,06/08/2023,TBA,TBA,Cape Town,SA,"The Netball World Cup is a quadrennial international netball world championship organised by the World Netball, inaugurated in 1963.",https://netball.sport/events-and-results/netball-world-cup,,https://drive.google.com/file/d/1Q8xdS37-xdZWwIhwxdi5O2SvSN7CJfIk/view?usp=sharing,Annual
Summer World University Games,Sports & Leisure,28/07/2023,TBA,08/08/2023,TBA,TBA,Chengdu,CH,"The FISU World University Games are staged every two years in a different city. This celebration of international university sports and culture draws many thousands of student-athletes together to compete, making it among the world's largest and most prestigious multi-sport events.",https://www.fisu.net/sport-events/fisu-world-university-games/summer-fisu-world-university-games,,https://drive.google.com/file/d/15EkGatWaCMG0sVmwvYtJ30SMa4Ek4NpB/view?usp=sharing,Annual
UCI Cycling World Championships,Sports & Leisure,03/08/2023,TBA,13/3/2023,TBA,TBA,"Glasgow, Scotland",UK,"The 2022 UCI Road World Championships was the 95th edition of the UCI Road World Championships, the annual world championships for road bicycle racing. It was held between 18 and 25 September 2022 in Wollongong, New South Wales, Australia.",https://www.uci.org/,,https://drive.google.com/file/d/1nHD1k-9GIYEkzIqGvaWEI2kjlVgpDs-N/view?usp=sharing,Annual
World Beach Games,Sports & Leisure,05/08/2023,TBA,12/08/2023,TBA,TBA,Bali,ID,"The ANOC World Beach Games, known simply as the World Beach Games, is an international multi-sport event organized by the Association of National Olympic Committees",https://www.anocolympic.org/anoc-world-beach-games/,,https://drive.google.com/file/d/1-4dUiyBKeklzXgAtF6zQhv7lHAD90yhn/view?usp=sharing,Annual
Sailing World Championships,Sports & Leisure,10/08/2023,TBA,20/08/2023,TBA,TBA,The Hauge,NE,The Sailing World Championships are the primary event in the Olympic qualification campaign and mirrors the Olympic sailing event format. All 10 Olympic events will be contested just one year out from Paris 2024.,https://www.sailing.org/,,https://drive.google.com/file/d/1zJq4ojIo0xxoB2B4M3DnbzQuR4S-ZfDW/view?usp=sharing,Annual
IAAF World Championships,Sports & Leisure,19/08/2023,TBA,27/08/2023,TBA,TBA,Budapest,HU,"The World Athletics Championships are a biennial athletics competition organized by World Athletics. Alongside the Olympic Games, they represent the highest level championships of senior international outdoor athletics competition for track and field athletics globally, including marathon running and race walking.",https://worldathletics.org/,,https://drive.google.com/file/d/1HscWPHhOJrWRZMEJSavClb7yxMOG21qW/view?usp=sharing,Annual
FIBA Basketball World Cup ,Sports & Leisure,25/08/2023,TBA,10/09/2023,TBA,TBA,TBA,"ID, JP, PH","The FIBA Basketball World Cup, also known as the FIBA World Cup of Basketball or simply the FIBA World Cup, between 1950 and 2010 known as the FIBA World Championship, is an international basketball",https://www.fiba.basketball/basketballworldcup/2023,,https://drive.google.com/file/d/1c83nv2x9E3Gm6i7cCix9PKsXFGD25vdF/view?usp=sharing,Annual
World Rowing Championships,Sports & Leisure,03/09/2023,TBA,10/09/2023,TBA,TBA,"Belgrade, Serbia",EU,The World Rowing Championships is an international rowing regatta organized by FISA (the International Rowing Federation). It is a week-long event held at the end of the northern hemisphere summer and in non-Olympic years is the highlight of the international rowing calendar.,https://worldrowing.com/,,https://drive.google.com/file/d/16I5NMRTeTHLgQilW0w3svPEVBXr1AaLn/view?usp=sharing,Annual
World Cup (men) [Rugby],Sports & Leisure,08/09/2023,TBA,28/10/2023,TBA,TBA,TBA,FR,World Cup (men) [Rugby],https://www.rugbyworldcup.com/,,https://drive.google.com/file/d/1MlqMppemLjUzrI9079JodlBFnjtYCL75/view?usp=sharing,Annual
Solheim Cup [Golf],Sports & Leisure,22/09/2023,TBA,24/09/2023,TBA,TBA,"Casares, Málaga, Andalusia",ESP,"The Solheim Cup is a biennial golf tournament for professional women golfers contested by teams representing Europe and the United States. It is named after the Norwegian-American golf club manufacturer Karsten Solheim, who was a driving force behind its creation.",http://www.solheimcup.com/,,https://drive.google.com/file/d/1p9tS_ok3_1I9byMWAR6kRwbol4Vtsb63/view?usp=sharing,Annual
Ryder Cup [Golf],Sports & Leisure,29/09/2023,TBA,1/10/2023,TBA,Marco Simone Golf and Country Club,Rome,Italy,The Ryder Cup is a biennial men's golf competition between teams from Europe and the United States. The competition is contested every two years with the venue alternating between courses in the United States and Europe. The Ryder Cup is named after the English businessman Samuel Ryder who donated the trophy.,https://www.rydercup.com/,,https://drive.google.com/file/d/1ebWLGj3Q292YeKPsCo3--QJ0M4iLZyQN/view?usp=sharing,Annual
World Combat Games,Sports & Leisure,5/10/2023,TBA,14/10/2023,TBA,TBA,Riyadh,Saudi Arabia,The World Combat Games is an international multi-sport event featuring combat sports and martial arts. The games were founded by SportAccord (now known as the Global Association of International Sports Federations) as a way of bringing various martial arts and combative sports to an international audience.,https://gaisf.sport/world-combat-game/,,https://drive.google.com/file/d/1HHljCcq4MXaFX0qvSJItXwOXPbK5l9YQ/view?usp=sharing,Annual
Pan American Games,Sports & Leisure,20/10/2023,TBA,5/11/2023,TBA,TBA,Santiago,CH,"The Pan American Games is a continental multi-sport event in the Americas featuring summer sports, in which thousands of athletes participate in a variety of competitions. The competition is held among athletes from nations of the Americas, every four years in the year before the Summer Olympic Games.",https://www.panamsports.org/,,https://drive.google.com/file/d/1ZXwnhI2C2XN6rnUGNsTjDBNOt67ok7s3/view?usp=sharing,Annual
Melbourne Cup [Horse Racing],Sports & Leisure,7/11/2023,TBA,1/11/2023,TBA,TBA,Victoria,AU,The Melbourne Cup is Australia's most famous horse race held over a distance of 3200 metres at Flemington Racecourse in Melbourne.,n/a,,https://drive.google.com/file/d/1YOIdKURx5Ej73d4Fmok-lRdPWvl88L3T/view?usp=sharing,Annual
Pacific Games,Sports & Leisure,19/11/2023,TBA,1/12/2023,TBA,TBA,Honiara,Solomon Islands,"The 2023 Pacific Games, officially known as the XVII Pacific Games, will be a continental multi-sport event for Oceania countries and territories that is scheduled to be held in Honiara, Solomon Islands between 19 November and 2 December 2023.",https://pacificgames.pngfacts.com/,,https://drive.google.com/file/d/1RoC9i1LT6e42q3Z1lJhMrWNd6hAkUxg-/view?usp=sharing,Annual
Diwali Festival of Lights,Cultural Events,24/10/2023,n/a,24/10/2023,n/a,n/a,n/a,IN,"Diwali is a festival of lights and is one of the major festivals celebrated by Hindus, Jains, and Sikhs. The festival usually lasts five days and is celebrated during the Hindu lunisolar month Kartika.",n/a,,https://drive.google.com/file/d/1hmAr4sG_VDsNUztXEupMFfTzI4EHAtYP/view?usp=sharing,Annual
Day of the Dead/el Día de los Muertos (Mexico),Cultural Events,1/11/2023,n/a,2/11/2023,n/a,n/a,n/a,MX,"The Day of the Dead is a holiday traditionally celebrated on November 1 and 2, though other days, such as October 31 or November 6, may be included depending on the locality. It largely originated in Mexico, where it is mostly observed, but also in other places, especially by people of Mexican heritage elsewhere.",n/a,,https://drive.google.com/file/d/1dKL2l_g1G6WDJUFz6DPr1jhm_nKWclyr/view?usp=sharing,Annual
Guy Fawkes Night (UK),Cultural Events,5/11/2023,n/a,5/22/2023,n/a,n/a,n/a,UK,"The British holiday, celebrated with fireworks and bonfires, commemorates the failed Gunpowder Plot of 1605. Observed in the United Kingdom every year on November 5, Guy Fawkes Day—also called Bonfire Night or Fireworks Night—commemorates a failed assassination attempt from over 400 years ago.",n/a,,https://drive.google.com/file/d/1axxutox4MlsU_pes0gN_n4AezwKLUWhm/view?usp=sharing,Annual
Yi Peng Lantern Festival (Thailand) ,Cultural Events,8/11/2023,n/a,8/11/2023,n/a,n/a,n/a,TH,"A week after the end of Buddhist Lent, Thailand celebrates Yi Peng Lantern Festival. It’s one of the biggest festivals in Thailand, when thousands gather to send floating lanterns into the sky. These are made from banana leaves and other plant matter, which are carried up by propane-generated flames before being released into the night sky.",n/a,,https://drive.google.com/file/d/1tbd1mMisrjHMupIABf4jPkZATiOMixmf/view?usp=sharing,Annual
Remembrance Day (UK/Worldwide),Cultural Events,11/11/2023,n/a,11/11/2023,n/a,n/a,n/a,UK,"Remembrance Day is a national holiday in the UK and other countries which were formerly part of the British Empire. It commemorates members of the armed forces who have lost their lives in war and also honours civilians who died during times of conflict. This commemorative day is usually signified by the wearing of poppies and the observation of two minutes silence. A special service is held at The Cenotaph monument in London, where the Queen lays a wreath to those who died.",n/a,,https://drive.google.com/file/d/1zTUGOK34iNrcfjAtaN_oAE-mBInP_fU7/view?usp=sharing,Annual
Thanksgiving (USA),Cultural Events,24/11/2023,n/a,24/11/2023,n/a,n/a,n/a,US,"Thanksgiving is a holiday celebrated on the 24th Thursday of November in the USA (and sometimes some other countries too). It’s a time to be with family, friends and loved ones; eat lots of amazing foods; give thanks for everything you have; and enjoy watching parades around Thanksgiving Day.",n/a,,https://drive.google.com/file/d/1rb4Fluidg1T_5XQ3LbAmDJLf-QGVWbPm/view?usp=sharing,Annual
St Andrew’s Day (Scotland),Cultural Events,30/11/2023,n/a,30/11/2023,n/a,n/a,n/a,SCT,"St Andrew’s Day is celebrated on 30th November in Scotland, but also by Scots around the world, to mark the historical figure of St Andrew. The religious observance of St Andrews Day takes place on the feast day of Saint Andrew — 30th of November.",n/a,,https://drive.google.com/file/d/1dJXcpA1GK5z1u_ES_AOg_LMz07-Oat8J/view?usp=sharing,Annual
Nicholas Day (Christian),Cultural Events,6/12/2023,n/a,6/12/2023,n/a,n/a,n/a,NL,"St Nicholas Day is a holiday celebrated on December 6th each year. The day commemorates Saint Nicholas – a Greek saint who was the inspiration for Santa Claus, Father Christmas and Kris Kringle – all famous names of festive figures in Western society!",n/a,,https://drive.google.com/file/d/1eY224PgGlMHs0Pv5ZcKMIgxLYCQtQ0Y5/view?usp=sharing,Annual
Las Posadas (Mexico),Cultural Events,16/12/2023,n/a,24/12/2023,n/a,n/a,n/a,MX,"A very popular Christmas celebration in Mexico, Las Posadas takes place from 16th to 24th December. The origins of the festival have been traced back to a play performed by Spanish conquistadores and missionaries that tells the story of Mary and Joseph searching for a place to give birth to Jesus – an alternative celebration of the Christmas story.",n/a,,https://drive.google.com/file/d/1AZ5gaVYF9cxv9DkxTWVRGno3I0BGy9RK/view?usp=sharing,Annual
Hanukkah (Jewish),Cultural Events,16/12/2023,n/a,26/12/2023,n/a,n/a,n/a,Worldwide,"A very popular Christmas celebration in Mexico, Las Posadas takes place from 16th to 24th December. The origins of the festival have been traced back to a play performed by Spanish conquistadores and missionaries that tells the story of Mary and Joseph searching for a place to give birth to Jesus – an alternative celebration of the Christmas story.",n/a,,https://drive.google.com/file/d/1BQd3xtJ03e2vIRHGvxcPrVr432NgjuhT/view?usp=sharing,Annual
Winter Solstice (Pagan/Secular),Cultural Events,21/12/2023,n/a,21/12/23,n/a,n/a,n/a,Worldwide,"The Winter Solstice is the shortest day of the year and usually occurs on either December 21st (most common) or 22nd (less common). It signals the end of winter and has been celebrated as a holiday for thousands of years. Different cultures celebrate this event in different ways – some see it as a time to reflect and appreciate the good things we have, others see it as a more mystical or spiritual celebration.",n/a,,https://drive.google.com/file/d/1W2KJHB4Om3IXWelQRxUg5ORZulD351rC/view?usp=sharing,Annual
Christmas Day (Christian/Secular),Cultural Events,25/12/2023,n/a,25/12/2023,n/a,n/a,n/a,Worldwide,"The day that marks the birth of Jesus Christ. Despite being a Christian celebration, Christmas is also widely celebrated by many non-Christians around the world as a secular holiday focused on family, friends and exchanging gifts.",n/a,,https://drive.google.com/file/d/1Yxzw0cpf1Cd1t4IZjSizpiaQhQMQj98F/view?usp=sharing,Annual
Boxing Day (UK/Former British Colonies),Cultural Events,26/12/2023,n/a,26/12/2023,n/a,n/a,n/a,(UK/Former British Colonies),"Boxing Day is an annual holiday held on 26th December each year. The name Boxing Day dates back to 19th Century, when it was common practice for employers to give their servants a gift known as a “Christmas box” on this day, and thus the day became associated with receiving gifts!",n/a,,https://drive.google.com/file/d/1nRANTGNe25zP3y4_Om-duHBoTKTMhBZl/view?usp=sharing,Annual
New Year’s Eve (Secular),Cultural Events,1/1/2023,n/a,1/1/2023,n/a,n/a,n/a,Worldwide,"New Year’s Eve is celebrated around the world as a time to mark the end of one year and welcome in a new one. People often gather with friends, loved ones or workmates for celebrations including fireworks, dinner parties, special drinks and/or dancing. It’s also common for people to make resolutions for things they want to achieve or change during the next year.",n/a,,https://drive.google.com/file/d/1mmXLBloDH4GXThHsEsEJCG-HEsuAYcZp/view?usp=sharing,Annual
St Davids Day,Cultural Events,1/3/2023,n/a,1/3/2023,n/a,n/a,n/a,UK,"Songkran is a three-day national holiday in Thailand, and it is one of the most important holidays to Thai people. It occurs around the 13th or 14th April each year, and marks the traditional New Year. During this holiday, many Buddhists will return to their home towns to pay respects at their family’s temples. The water festival also involves the spraying of water on others, which can be used to cool off in Thailand’s hot climate!",n/a,,https://drive.google.com/file/d/1CUJQclOcniTfGMlVrCZmhU5BUp-t4-J9/view?usp=sharing,Annual
Shrove Tuesday,Cultural Events,1/3/2023,n/a,1/3/2023,n/a,n/a,n/a,UK,"More popularly known as ‘Pancake Day’, Shrove Tuesday is the day before Ash Wednesday, which marks the start of Lent. This public holiday in England is typically celebrated with pancakes, traditionally made by mixing batter with eggs and slowly frying until crisp on each side.",n/a,,https://drive.google.com/file/d/1H-nlpaCGfc9ChzaLsZ87lAQFKxIfa8-7/view?usp=sharing,Annual
Hinamatsuri,Cultural Events,3/3/2023,n/a,3/3/2023,n/a,n/a,n/a,JP,"Hinamatsuri or ‘the doll festival’ is a very important event in Japan, where families with daughters will display their beautifully decorated dolls in the home. This is to wish for their daughters to grow up healthy and have many future opportunities. In celebration of this holiday it would be appropriate to serve traditional Japanese sweet adzuki-bean soup.",n/a,,https://drive.google.com/file/d/1VwH6-2yh981SUyrCI5L_09-AXEEfN0yy/view?usp=sharing,Annual
International Women’s Day ,Cultural Events,8/3/2023,n/a,8/3/2023,n/a,n/a,n/a,Worldwide,"International Women’s Day celebrates the economic, political and social achievements of women. It is held on the 8th of March every year to recognise the hard work of females all over the world, and signifies a call to action for accelerating gender parity.",n/a,,https://drive.google.com/file/d/1Q0C2uJ7o0RkVIjKBXzDewS94A2sCjALh/view?usp=sharing,Annual
Holi Festival (Hinduism),Cultural Events,18/3/2023,n/a,18/3/2023,n/a,n/a,n/a,Countries with large Indian subcontinent popluations,"Holi is a Hindu spring festival that marks the beginning of spring. Traditional celebrations include throwing coloured powders at friends and family, as well as enjoying deliciously sweet Indian treats. Holi is a fun and typical holiday, perfect for making your own Indian delicacies at home!",n/a,,https://drive.google.com/file/d/1nzCbYACiC4CrjBOfG8olnvNM1jO3ELu2/view?usp=sharing,Annual
St Patrick’s Day ,Cultural Events,17/3/2023,n/a,17/3/2023,n/a,n/a,n/a,IR,"St Patrick’s Day is celebrated as a national holiday in Ireland on the 17th March, and is a celebration of all things Irish. Celebrations include parades, wearing green clothes and lots of festivity. Also known as ‘the luck o’ the Irish’, celebrating at a St Patrick’s Day party would be perfect for this occasion.",n/a,,https://drive.google.com/file/d/1510g_UeO9_egZ_jtW8epnvdW75WQ_pxO/view?usp=sharing,Annual
Qingming Festival,Cultural Events,5/4/2023,n/a,5/4/2023,n/a,n/a,n/a,CH,"The Qingming Festival is a traditional Chinese holiday that falls on the fifth of April, and it is also known as Tomb Sweeping Day. It is a time to remember those who have passed away, by honouring them with visits to their graves and leaving offerings. This celebration is observed by many Chinese-speaking countries.",n/a,,https://drive.google.com/file/d/1k5vpjxTstrjy5gAzyrPhS7WBk6LwiLne/view?usp=sharing,Annual
Songkran,Cultural Events,13/4/2023,n/a,15/4/2023,n/a,n/a,n/a,TH,"Songkran is a three-day national holiday in Thailand, and it is one of the most important holidays to Thai people. It occurs around the 13th or 14th April each year, and marks the traditional New Year. During this holiday, many Buddhists will return to their home towns to pay respects at their family’s temples. The water festival also involves the spraying of water on others, which can be used to cool off in Thailand’s hot climate!",n/a,,https://drive.google.com/file/d/1Xr2FP0h6wzLR_4YZVVszVr1UT6cpCNaR/view?usp=sharing,Annual
Good Friday (Christian),Cultural Events,7/4/2023,n/a,7/4/2023,n/a,n/a,n/a,Worldwide,"Good Friday is a Christian holiday that falls on the 15th of April every year. In the UK, it is a public bank holiday, and many people will go to church or visit ancestral graves before going out for lunch with family members, or spending the rest of the day relaxing with family. Good Friday traditionally represents the day that Jesus was crucified, and is celebrated by Christians as being the day he died for their sins.",n/a,,https://drive.google.com/file/d/1TYMYEul6lJII9TXGC-VMm1Sa7ivbtWYM/view?usp=sharing,Annual
Easter Sunday (Christian) ,Cultural Events,9/4/2023,n/a,9/4/2023,n/a,n/a,n/a,Worldwide,"Easter Sunday is observed by Christians as the day Jesus rose again. This date varies depending on the lunar cycle as Easter is a moveable date. It is always celebrated on a Sunday after the Spring Equinox, and in 2022, it falls on 17th April. Similar to Good Friday, Easter Sunday is a public bank holiday; during this time it is customary for children to share Easter eggs, chocolate and sweets with their family members while spending time together, or taking part in an Easter egg hunt!",n/a,,https://drive.google.com/file/d/1ljeYMvFW5883_KgBCH4xW1r4YPVtE4P2/view?usp=sharing,Annual
Earth Day ,Cultural Events,22/4/2023,n/a,22/4/2023,n/a,n/a,n/a,Worldwide,"Earth Day is a day of global celebration of the Earth, and it is observed all over the world. It is held on April 22nd every year, to raise awareness towards environmental issues, and for people to do their part in protecting our planet. Many charities organise events to take place during this time, including tree planting or beach clean-ups.",n/a,,https://drive.google.com/file/d/15AYtubJqqeyVts6y5ILL__7iOLhegoIN/view?usp=sharing,Annual
St George’s Day (Europe),Cultural Events,23/4/2023,n/a,23/4/2023,n/a,n/a,n/a,EU,"St George’s Day is mainly celebrated in the UK, but it is also a public holiday in other European countries such as Austria, Cyprus, Greece and Bulgaria. It falls on the 23rd of April every year. This day is commemorated to honour St George who was honoured by Christianity for being brave and courageous.",n/a,,https://drive.google.com/file/d/1s2OfEGpkOyi_K9i9OiMUi87EdX5Btou8/view?usp=sharing,Annual
Mayday (Europe),Cultural Events,30/4/2023,n/a,30/4/2023,n/a,n/a,n/a,EU,"MAYDAY Dortmund is one of the most iconic dance music events on the European continent. Its legacy long outstrips their partying peers, considering that MAYDAY have been throwing the most extravagant, hedonistic raves for nearly thirty years since it's birth in 1991.",n/a,,https://drive.google.com/file/d/1Aqjd9Hi3iN_gAbXfYj13jgRj8pnFc4sP/view?usp=sharing,Annual
Vappu (Finland) ,Cultural Events,1/5/2023,n/a,1/5/2023,n/a,n/a,n/a,FN,"Vappu is a huge public carnival that happens annually around May 1st. It is dedicated to the Finnish culture and traditions, and mainly involves students and other young people, who attend huge gatherings in different parts of the country. There are also many concerts and parties held to celebrate this time, and festivities such as wearing colourful clothes or ribbons on your clothing are customary!",n/a,,https://drive.google.com/file/d/1vw2a4SEKNQdr8aTGpljkATX2AWqJR617/view?usp=sharing,Annual
Star Wars Day ,Cultural Events,4/5/2023,n/a,4/5/2023,n/a,n/a,n/a,CA,"Star Wars Day is a humourous tradition, celebrated to mark the events of the Star Wars movie saga. On this day, fans are encouraged to celebrate by watching their favourite movies again or try dressing up as one of the characters! For many people worldwide, it is also customary to wish each other “may the 4th be with you!”, the joke behind the day itself.",n/a,,https://drive.google.com/file/d/1-gJf3MkB0DUhaTTgmra9N6Q4BqTv08lg/view?usp=sharing,Annual
Cinco de Mayo (Mexico) ,Cultural Events,5/5/2023,n/a,5/5/2023,n/a,n/a,n/a,MX,"Cinco de Mayo is a national holiday in Mexico, held to commemorate the Mexican victory at the Battle of Puebla, 1862. On this day every year, Mexicans honour their country’s military by organising parades or festivals with food stalls selling traditional Mexican dishes.",n/a,,https://drive.google.com/file/d/17W0wFO-KFZkaEj2BoynvqFUnqvCpIX-h/view?usp=sharing,Annual
Vesak/Buddha Day (Buddhism) ,Cultural Events,5/5/2023,n/a,5/5/2023,n/a,n/a,n/a,"Theravada countries following the Buddhist calendar, i","Vesak, also known as Buddha day, is an important Buddhist holiday that marks the birth, enlightenment and death of Gautama Buddha. The date changes every year depending on the lunar cycle, but it is always celebrated in the beginning of May. Buddha Day celebrations often include meditation and prayer, as well as many cultural activities such as dancing, art workshops and processions.",n/a,,https://drive.google.com/file/d/1c5dtnCg_UDnJb1wYn_XiudQk4CglRZs-/view?usp=sharing,Annual
Pride Month,Cultural Events,1/6/2023,n/a,30/1/2023,n/a,n/a,n/a,Worldwide,"The purpose of Pride Month is to acknowledge the struggles that the LGBT+ community has had to face in order to achieve equal rights, and also celebrate diversity and difference. This has been celebrated for over 50 years now, with the first ever pride parade taking place in 1970. Now, Pride Month is held in June every year, and there are many different events taking place across the world, many of which include parades or parties.",n/a,,https://drive.google.com/file/d/109-NoEPGR4zDhc3EcKliab-GGmXgLaOZ/view?usp=sharing,Annual
Dragon Boat Festival (China) ,Cultural Events,22/6/2023,n/a,22/6/2023,n/a,n/a,n/a,CH,"The Dragon Boat festival is one of the oldest traditional Chinese festivals and has a history of over 2000 years. The festival traditionally evolved from the practice of revering the river dragon, and involves a variety of ceremonies and activities. It takes place in June every year, with celebrations including dragon boat races, where they paddle and race their boats and hold handmade dragons above them!",n/a,,https://drive.google.com/file/d/1aAuw_NZ_gEvUW0UuYakSSROFIdntX86R/view?usp=sharing,Annual
Juneteenth (USA),Cultural Events,19/6/2023,n/a,19/6/2023,n/a,n/a,n/a,US,"Juneteenth marks the celebration of black freedom in America. The tradition began as a time to rejoice and mark the end of slavery, but has since evolved into a day that highlights African American culture and achievements.The holiday is usually celebrated on June 19th every year, and is usually marked by several community events, street celebrations, picnics and family gatherings.",n/a,,https://drive.google.com/file/d/1DBWL0JrXhtUgoHxraoWHUngEHl52YSNC/view?usp=sharing,Annual
World Refugee Day (Worldwide),Cultural Events,20/6/2023,n/a,20/6/2023,n/a,n/a,n/a,Worldwide,"Organised by the United Nations, World Refugee Day is an annual event held on 20th June every year which gives the opportunity to raise awareness of the situations faced by refugees all around the world. Welcoming refugees can play a big role in helping them make a home for themselves in their new country, making this an important cultural event for your calendar this year.",n/a,,https://drive.google.com/file/d/1zIFBP_vMdqnO8RoiYrGQTqZHyn9UHXsN/view?usp=sharing,Annual
Canada Day (Canada) ,Cultural Events,1/7/2023,n/a,1/7/2023,n/a,n/a,n/a,CA,"Canada Day is marks the anniversary of the enactment of the Constitution Act, 1867. This act united three colonies into one single country – Canada – within the British Empire. This day has significant meaning to Canadians, as it is celebrated with parades, festivals and family events all across the country!",n/a,,https://drive.google.com/file/d/1I5t64pXNk4WkJr_qG8sjNbj-aEh0Uh9G/view?usp=sharing,Annual
Independence Day (USA),Cultural Events,4/7/2023,n/a,4/7/2023,n/a,n/a,n/a,US,"Independence Day is a federal holiday celebrated on the Fourth of July every year. This day celebrates the adoption of the Declaration of Independence and it’s important for Americans as it symbolises their independence from Great Britain.This day always involves fireworks, parades and family events, and should definitely be marked on your calendar this year!",n/a,,https://drive.google.com/file/d/1FjYmg5UTmbdrwdqnRv83K0S25lHJDrH6/view?usp=sharing,Annual
